City_ID,latitud,longitude,temperature,humidity,cloudiness,wind_speed,country,description,city
147,50.8552,0.5729,63.28,88,97,22.73,GB,overcast clouds,Hastings
148,64.8945,-23.7142,41.85,85,100,30.8,IS,overcast clouds,Olafsvik
149,68.75,161.3,29.3,56,11,11.12,RU,few clouds,Cherskiy
150,-20.7833,117.1333,81.97,32,0,14.29,AU,clear sky,Roebourne
151,-29.9533,-71.3436,55.13,82,75,1.14,CL,broken clouds,Coquimbo
152,13.7796,124.39,85.01,75,97,6.64,PH,moderate rain,Gigmoto
153,60.8156,-115.7999,40.98,75,75,10.36,CA,broken clouds,Hay River
154,-19.5667,18.1167,68.41,17,0,7.94,NA,clear sky,Grootfontein
155,-20.3297,-40.2925,69.75,96,100,6.91,BR,moderate rain,Vila Velha
156,5.8933,95.3214,78.37,83,100,10.02,ID,overcast clouds,Sabang
157,11.2333,79.8333,86.45,62,98,5.86,IN,moderate rain,Tirumullaivāsal
158,-20.5167,57.5167,73.78,68,40,11.5,MU,scattered clouds,Souillac
159,-9.9133,-63.0408,74.39,86,81,1.07,BR,broken clouds,Ariquemes
160,69.4541,-133.0374,30.2,100,20,11.5,CA,few clouds,Tuktoyaktuk
161,64.5011,-165.4064,39.27,81,0,12.66,US,clear sky,Nome
162,40.2833,97.2,56.53,23,63,9.01,CN,broken clouds,Yumen
163,-23.1333,150.7333,76.78,63,98,13.35,AU,overcast clouds,Yeppoon
164,66.7697,123.3711,27.28,73,100,6.15,RU,overcast clouds,Zhigansk
165,32.2994,-9.2372,68.04,78,61,8.86,MA,broken clouds,Safi
166,-34.6177,-68.3301,56.25,63,100,18.99,AR,light rain,San Rafael
167,9.8601,-66.3814,70.81,97,90,3.56,VE,overcast clouds,Altagracia de Orituco
168,-17.3411,-39.2208,73.85,82,78,11.77,BR,broken clouds,Prado
169,47.8667,88.1167,50.11,20,0,3.8,CN,clear sky,Altay
170,60.3964,-1.353,51.71,75,100,14.34,GB,overcast clouds,Brae
171,59.2353,163.0719,45.43,93,100,2.01,RU,overcast clouds,Ossora
172,-20.2333,164.0167,74.62,59,34,7.52,NC,scattered clouds,Poum
173,65.7,82.4667,34.47,97,100,12.03,RU,overcast clouds,Krasnosel'kup
174,17.0151,54.0924,78.89,78,75,2.3,OM,broken clouds,Salalah
175,52.634,-1.6959,62.83,87,100,10.0,GB,overcast clouds,Tamworth
176,51.5877,-2.9984,63.34,85,100,23.87,GB,overcast clouds,Newport
177,59.5714,7.9877,42.76,94,92,2.1,NO,overcast clouds,Åmot
178,14.5333,20.9167,81.61,47,30,7.92,TD,scattered clouds,Biltine
179,-5.1989,-35.4608,74.46,82,71,11.56,BR,broken clouds,Touros
180,-0.7193,8.7815,76.91,82,84,8.3,GA,broken clouds,Port-Gentil
181,17.3333,42.6667,83.34,57,59,0.85,SA,broken clouds,Jizan
182,-28.4696,-65.7852,74.07,43,0,12.73,AR,clear sky,San Fernando del Valle de Catamarca
183,50.6789,156.125,45.32,74,98,22.3,RU,overcast clouds,Severo-Kuril'sk
184,41.1231,80.2644,63.32,22,0,1.61,CN,clear sky,Aksu
185,37.7333,-25.6667,71.51,88,20,3.44,PT,few clouds,Ponta Delgada
186,64.2539,-15.2082,44.83,69,62,9.44,IS,broken clouds,Hofn
187,46.7805,41.8968,55.51,78,100,5.3,RU,overcast clouds,Gundorovskiy
188,40.8257,-73.6982,57.61,86,100,14.0,US,light rain,Port Washington
189,5.4112,100.3354,84.88,81,20,9.22,MY,few clouds,George Town
190,34.1667,77.5833,46.67,44,2,4.94,IN,clear sky,Leh
191,38.9342,100.4517,57.4,31,90,12.53,CN,overcast clouds,Zhangye
192,-6.6024,147.8681,85.8,68,64,11.45,PG,light rain,Finschhafen
193,25.1072,117.0225,87.42,56,70,3.4,CN,broken clouds,Longyan
194,29.0731,31.0979,70.16,72,0,8.23,EG,clear sky,Beni Suef
195,45.5234,-122.6762,61.75,88,0,0.0,US,clear sky,Portland
196,60.34,102.2797,34.65,56,41,9.8,RU,scattered clouds,Vanavara
197,60.4667,166.1,44.1,97,100,18.5,RU,moderate rain,Tilichiki
198,34.6391,-120.4579,60.94,93,100,3.44,US,fog,Lompoc
199,-12.8378,28.0919,61.03,41,27,4.54,ZM,scattered clouds,Kalulushi
200,12.1973,-86.0971,78.82,94,40,0.0,NI,scattered clouds,Tipitapa
201,25.2867,51.5333,85.98,74,0,6.91,QA,haze,Doha
202,5.3505,48.5268,78.15,80,84,14.43,SO,broken clouds,Hobyo
203,65.5833,-171.0,35.64,76,8,7.52,RU,clear sky,Lavrentiya
204,36.7167,117.5,58.57,43,78,7.0,CN,broken clouds,Mingshui
205,55.8628,-5.4162,51.51,94,100,7.31,GB,overcast clouds,Tarbert
206,35.174,-2.9287,66.45,94,20,0.0,MA,few clouds,Nador
207,14.8961,-24.4956,78.06,78,82,0.29,CV,broken clouds,São Filipe
208,7.3706,7.6253,70.3,98,100,3.58,NG,overcast clouds,Ankpa
209,4.95,-6.0833,74.59,94,100,4.25,CI,light rain,Sassandra
210,-22.1333,48.0167,69.24,83,20,7.72,MG,few clouds,Manakara
211,29.0331,21.5482,70.05,58,0,5.06,LY,clear sky,Jalu
212,43.213,-8.691,59.76,93,4,4.38,ES,clear sky,Carballo
213,14.9333,-85.7,80.17,97,99,2.57,HN,overcast clouds,San José de Río Tinto
214,69.4865,88.3972,33.21,97,99,2.3,RU,overcast clouds,Talnakh
215,30.7951,106.0847,62.42,96,100,6.02,CN,overcast clouds,Nanchong
216,43.7501,-81.7165,44.92,93,8,2.3,CA,clear sky,Goderich
217,15.85,-97.0667,79.21,81,9,4.83,MX,clear sky,Puerto Escondido
218,-33.0422,-71.3733,54.77,93,75,3.44,CL,broken clouds,Villa Alemana
219,45.1667,10.7833,63.64,89,0,3.96,IT,clear sky,Province of Mantua
220,20.8947,-156.47,78.82,82,75,12.66,US,broken clouds,Kahului
221,33.194,-82.5271,55.54,71,0,5.95,US,clear sky,Avera
222,36.6177,-121.9166,62.24,91,20,11.99,US,few clouds,Pacific Grove
223,72.7868,-56.1549,19.83,77,92,5.06,GL,overcast clouds,Upernavik
224,60.7522,-137.5108,40.95,81,100,1.14,CA,overcast clouds,Haines Junction
225,51.965,59.8967,41.99,37,97,6.69,RU,overcast clouds,Krasnoyarskiy
226,40.8021,-124.1637,60.67,83,68,1.99,US,broken clouds,Eureka
227,7.9986,124.2928,80.74,69,63,5.32,PH,broken clouds,Marawi
228,-43.3002,-65.1023,60.73,45,75,19.77,AR,broken clouds,Rawson
229,32.6667,-17.1,71.71,67,76,4.25,PT,broken clouds,Ponta do Sol
230,-39.0333,-67.5833,57.61,41,69,11.65,AR,broken clouds,General Roca
231,45.9695,42.6966,58.8,77,100,4.79,RU,overcast clouds,Bolshaya Dzhalga
232,-16.4708,-54.6356,77.11,70,3,3.33,BR,clear sky,Rondonópolis
233,-30.7414,30.455,66.97,80,95,16.69,ZA,overcast clouds,Port Shepstone
234,-8.9266,125.4092,73.02,68,87,2.28,TL,overcast clouds,Airai
235,-1.195,-46.02,76.44,80,32,5.59,BR,scattered clouds,Carutapera
236,58.6031,125.3894,24.71,88,100,15.28,RU,light snow,Aldan
237,-31.4707,19.776,46.72,57,0,3.33,ZA,clear sky,Calvinia
238,-18.95,-57.8,79.25,55,11,3.6,BO,few clouds,Puerto Suárez
239,-18.0607,13.84,64.38,41,0,1.68,NA,clear sky,Opuwo
240,-7.9058,39.2105,74.14,81,82,1.68,TZ,broken clouds,Mbumi
241,49.0333,104.0833,36.28,27,1,5.14,MN,clear sky,Erdenet
242,-33.8667,121.9,64.51,67,68,17.63,AU,broken clouds,Esperance
243,51.5313,20.0086,47.55,10,96,8.12,PL,overcast clouds,Tomaszów Mazowiecki
244,63.3667,47.9167,46.74,96,100,6.04,RU,overcast clouds,Blagoyevo
245,-24.7911,-50.0119,57.56,92,47,7.49,BR,scattered clouds,Castro
246,-6.9811,-34.8339,74.07,79,65,9.17,BR,broken clouds,Cabedelo
247,-16.7833,-151.5,77.92,72,38,25.39,PF,scattered clouds,Tevaitoa
248,3.3,117.6333,83.7,74,75,5.75,ID,light rain,Tarakan
249,35.1333,140.3,70.12,86,100,21.94,JP,light rain,Katsuura
250,-22.116,14.2845,53.49,94,20,9.55,NA,few clouds,Henties Bay
251,46.1667,1.8667,49.05,82,2,4.23,FR,clear sky,Guéret
252,35.7333,140.8333,68.4,86,100,24.92,JP,overcast clouds,Hasaki
253,28.017,-97.5169,75.85,61,8,6.58,US,clear sky,San Patricio
254,52.4926,82.7822,39.99,53,91,7.34,RU,overcast clouds,Aleysk
255,-28.7667,114.6,68.41,60,100,12.66,AU,overcast clouds,Geraldton
256,55.7435,-97.8558,41.16,81,75,0.0,CA,broken clouds,Thompson
257,-3.432,10.6554,75.09,86,100,5.53,GA,light rain,Mayumba
258,33.6103,-114.5964,86.45,26,0,6.91,US,clear sky,Blythe
259,60.9167,-46.05,37.62,100,100,6.04,GL,light rain,Narsaq
260,6.8662,101.3689,86.63,63,77,4.88,TH,broken clouds,Yaring
261,58.3902,45.4654,46.4,94,99,8.88,RU,overcast clouds,Vetluzhskiy
262,50.2834,-107.8014,65.21,45,0,5.75,CA,clear sky,Swift Current
263,65.441,52.1498,42.75,98,100,3.56,RU,overcast clouds,Ust-Tsilma
