City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
126,Bridlington,54.0831,-0.1919,56.89,74,5,9.78,GB,2022-10-02 18:42:59
127,Igrim,63.1906,64.4162,37.71,84,100,8.72,RU,2022-10-02 18:46:27
128,San Quintin,30.4833,-115.95,71.94,68,37,12.77,MX,2022-10-02 18:46:14
129,Torbay,47.6666,-52.7314,51.89,57,75,12.66,CA,2022-10-02 18:38:32
130,Mayumba,-3.432,10.6554,76.03,90,99,5.32,GA,2022-10-02 18:46:28
131,Maniitsoq,65.4167,-52.9,35.65,60,100,2.28,GL,2022-10-02 18:46:28
132,Lahat,-3.8,103.5333,71.91,98,65,2.1,ID,2022-10-02 18:46:29
133,Victoria,22.2855,114.1577,84.33,83,10,4.0,HK,2022-10-02 18:39:18
134,Tselinnoye,53.0833,85.6667,23.85,87,7,6.24,RU,2022-10-02 18:46:30
135,Rawson,-43.3002,-65.1023,53.35,45,100,16.71,AR,2022-10-02 18:46:30
136,Furano,43.2818,142.4743,53.76,96,100,3.89,JP,2022-10-02 18:46:30
137,Grand Gaube,-20.0064,57.6608,72.0,64,66,5.99,MU,2022-10-02 18:46:31
138,Ribeira Grande,38.5167,-28.7,75.6,83,40,10.36,PT,2022-10-02 18:46:31
139,Hermanus,-34.4187,19.2345,60.8,85,0,13.96,ZA,2022-10-02 18:41:27
140,Mataura,-46.1927,168.8643,47.48,99,25,5.55,NZ,2022-10-02 18:34:01
141,Longyearbyen,78.2186,15.6401,37.24,87,75,3.44,SJ,2022-10-02 18:44:38
142,Mandalgovi,45.7625,106.2708,21.56,73,81,13.56,MN,2022-10-02 18:47:32
143,Tarakan,3.3,117.6333,80.2,76,100,2.15,ID,2022-10-02 18:47:32
144,Vanersborg,58.3807,12.3234,51.75,93,100,4.61,SE,2022-10-02 18:47:32
145,Salinas,36.6777,-121.6555,67.06,63,100,3.44,US,2022-10-02 18:47:23
146,Pascagoula,30.3658,-88.5561,84.92,37,0,6.91,US,2022-10-02 18:47:33
147,Tuktoyaktuk,69.4541,-133.0374,26.6,86,100,8.05,CA,2022-10-02 18:47:33
148,Juigalpa,12.1063,-85.3645,87.71,62,40,4.61,NI,2022-10-02 18:47:34
149,Flinders,-34.5833,150.8552,49.24,90,0,1.99,AU,2022-10-02 18:40:59
150,Lebu,-37.6167,-73.65,56.82,72,100,6.35,CL,2022-10-02 18:47:36
151,Cadiz,36.5,-5.75,75.13,55,1,14.16,ES,2022-10-02 18:47:36
152,Aksarka,66.5606,67.7975,35.76,86,100,11.97,RU,2022-10-02 18:47:36
153,Oksfjord,70.2396,22.3479,33.87,84,16,1.79,NO,2022-10-02 18:47:37
154,Saint-Augustin,51.226,-58.6502,48.51,36,100,17.05,CA,2022-10-02 18:47:37
155,San Juan De Uraba,8.7592,-76.5297,85.87,67,51,7.2,CO,2022-10-02 18:47:37
156,Buraydah,26.326,43.975,84.65,12,0,8.93,SA,2022-10-02 18:47:38
157,Mahajanga,-15.7167,46.3167,73.42,73,0,3.44,MG,2022-10-02 18:47:39
158,Szczecinek,53.7079,16.6994,49.89,86,2,11.1,PL,2022-10-02 18:47:39
159,Barrow,71.2906,-156.7887,26.62,80,100,11.5,US,2022-10-02 18:41:31
160,Dudinka,69.4058,86.1778,29.62,79,100,13.69,RU,2022-10-02 18:47:39
161,Fairbanks,64.8378,-147.7164,39.81,94,100,3.44,US,2022-10-02 18:46:47
162,Port Augusta,-32.5,137.7667,67.66,31,100,15.52,AU,2022-10-02 18:47:40
163,Moranbah,-22.0016,148.0466,65.55,87,60,9.51,AU,2022-10-02 18:47:40
164,Balaipungut,1.05,101.2833,73.47,98,100,2.39,ID,2022-10-02 18:47:40
165,Mahebourg,-20.4081,57.7,71.89,73,75,11.5,MU,2022-10-02 18:47:41
166,Amazar,53.858,120.875,26.67,73,100,2.17,RU,2022-10-02 18:47:41
167,Tabuk,17.4189,121.4443,72.32,92,65,1.95,PH,2022-10-02 18:47:42
168,Morgan City,29.6994,-91.2068,84.99,28,8,6.13,US,2022-10-02 18:47:42
169,Whyalla,-33.0333,137.5833,64.89,46,100,11.25,AU,2022-10-02 18:47:43
170,Bilma,18.6853,12.9164,93.7,11,0,9.33,NE,2022-10-02 18:47:43
171,Arona,28.0996,-16.681,69.57,85,20,14.97,ES,2022-10-02 18:47:43
172,Severnyy-Kospashskiy,59.0925,57.8008,47.61,64,100,10.83,RU,2022-10-02 18:47:44
173,Tara,56.8944,74.371,29.64,78,13,5.32,RU,2022-10-02 18:47:44
174,Nakusp,50.2499,-117.8023,61.14,72,0,2.3,CA,2022-10-02 18:45:53
175,Krasnovishersk,60.4078,57.082,48.65,80,100,11.27,RU,2022-10-02 18:47:45
176,Bismarck,46.8083,-100.7837,64.24,55,20,0.0,US,2022-10-02 18:44:03
177,Kambove,-10.8764,26.5969,70.5,30,19,4.38,CD,2022-10-02 18:47:45
178,Estrela,-28.0611,-50.9383,61.41,46,0,5.26,BR,2022-10-02 18:47:46
179,Biltine,14.5333,20.9167,91.94,23,6,5.08,TD,2022-10-02 18:47:46
180,Bathsheba,13.2167,-59.5167,90.21,70,40,18.41,BB,2022-10-02 18:47:47
181,Bluff,-46.6,168.3333,47.8,81,100,22.44,NZ,2022-10-02 18:40:10
182,Tigil,57.8,158.6667,35.42,98,99,7.45,RU,2022-10-02 18:47:47
183,Fort Morgan,40.2503,-103.8,59.65,94,75,11.5,US,2022-10-02 18:47:47
184,Touros,-5.1989,-35.4608,80.83,63,5,16.31,BR,2022-10-02 18:47:48
185,Mehamn,71.0357,27.8492,39.15,93,75,1.14,NO,2022-10-02 18:40:13
186,Thohoyandou,-22.9456,30.485,73.94,38,0,1.21,ZA,2022-10-02 18:48:48
187,Kerrobert,51.9168,-109.1348,60.85,50,2,8.63,CA,2022-10-02 18:48:49
188,Khatanga,71.9667,102.5,21.85,96,100,9.89,RU,2022-10-02 18:38:55
189,Iqaluit,63.7506,-68.5145,33.53,64,100,11.5,CA,2022-10-02 18:39:07
190,Dondo,-19.6094,34.7431,74.71,88,0,6.4,MZ,2022-10-02 18:48:49
191,Vostok,46.4856,135.8833,47.1,95,72,5.21,RU,2022-10-02 18:48:49
192,Sorong,-0.8833,131.25,77.52,87,100,7.27,ID,2022-10-02 18:48:50
193,Riberalta,-10.9833,-66.1,91.6,55,75,9.22,BO,2022-10-02 18:47:15
194,Kitui,-1.367,38.0106,65.55,66,48,12.66,KE,2022-10-02 18:48:50
195,Codrington,-38.2667,141.9667,45.79,90,100,4.81,AU,2022-10-02 18:48:51
196,Lavrentiya,65.5833,-171.0,34.84,81,18,9.48,RU,2022-10-02 18:42:39
197,Patea,-39.7583,174.4833,53.02,97,100,2.57,NZ,2022-10-02 18:48:51
198,Ust-Maya,60.4167,134.5333,26.11,67,100,9.06,RU,2022-10-02 18:48:51
199,Balangiga,11.1097,125.3875,79.66,86,82,4.94,PH,2022-10-02 18:48:52
200,Urumqi,43.801,87.6005,34.75,56,0,2.24,CN,2022-10-02 18:48:02
201,Neiafu,-18.65,-173.9833,74.08,83,40,8.05,TO,2022-10-02 18:48:52
202,Butaritari,3.0707,172.7902,81.36,78,58,17.25,KI,2022-10-02 18:39:02
203,Yeppoon,-23.1333,150.7333,64.18,85,92,11.34,AU,2022-10-02 18:48:53
204,Lata,40.1629,-8.3327,73.92,39,0,1.1,PT,2022-10-02 18:48:53
205,Sao Francisco De Paula,-29.4481,-50.5836,58.69,62,12,4.72,BR,2022-10-02 18:48:54
206,Shahreza,32.0339,51.8794,63.32,37,0,2.66,IR,2022-10-02 18:48:55
207,Portland,45.5234,-122.6762,83.34,53,0,5.75,US,2022-10-02 18:40:03
208,Necochea,-38.5473,-58.7368,53.46,60,96,13.76,AR,2022-10-02 18:48:55
209,Severo-Kurilsk,50.6789,156.125,44.1,70,94,9.4,RU,2022-10-02 18:39:36
210,Port Macquarie,-31.4333,152.9167,46.89,85,1,7.29,AU,2022-10-02 18:44:43
211,Tancitaro,19.3333,-102.3667,64.18,78,82,4.05,MX,2022-10-02 18:48:56
212,Bonavista,48.6499,-53.1147,47.75,60,99,17.16,CA,2022-10-02 18:48:56
213,Hofn,64.2539,-15.2082,47.3,68,95,8.97,IS,2022-10-02 18:48:56
214,Kinwat,19.6333,78.2,74.89,78,100,4.63,IN,2022-10-02 18:48:57
215,Qasigiannguit,68.8193,-51.1922,34.05,88,95,1.79,GL,2022-10-02 18:48:57
216,Qui Nhon,13.7667,109.2333,76.5,90,100,6.02,VN,2022-10-02 18:48:57
217,Asau,46.4333,26.4,54.52,70,56,6.8,RO,2022-10-02 18:48:58
218,Chokurdakh,70.6333,147.9167,16.75,91,85,7.16,RU,2022-10-02 18:40:22
219,Yabrud,33.9674,36.6574,66.81,35,1,2.84,SY,2022-10-02 18:48:58
220,Saurimo,-9.6608,20.3916,66.33,88,95,10.07,AO,2022-10-02 18:48:59
221,Egvekinot,66.3167,-179.1667,22.59,83,99,6.42,RU,2022-10-02 18:48:59
222,Havre-Saint-Pierre,50.2334,-63.5986,52.16,35,75,11.5,CA,2022-10-02 18:48:59
223,Cockburn Town,21.4612,-71.1419,83.52,72,96,6.53,TC,2022-10-02 18:49:00
224,Moorhead,46.8739,-96.7676,69.94,51,75,19.57,US,2022-10-02 18:49:00
225,San Patricio,28.017,-97.5169,85.15,37,100,7.99,US,2022-10-02 18:39:18
226,Narsaq,60.9167,-46.05,41.22,61,55,2.62,GL,2022-10-02 18:49:01
227,Ucluelet,48.9329,-125.5528,71.91,80,12,2.62,CA,2022-10-02 18:49:01
228,Bubaque,11.2833,-15.8333,81.39,76,54,7.94,GW,2022-10-02 18:49:02
229,Provideniya,64.3833,-173.3,34.72,80,13,9.22,RU,2022-10-02 18:39:19
230,Hobyo,5.3505,48.5268,76.78,84,86,21.39,SO,2022-10-02 18:49:02
231,Saskylakh,71.9167,114.0833,25.16,95,100,14.81,RU,2022-10-02 18:49:02
232,Ostrovnoy,68.0531,39.5131,38.19,80,100,8.99,RU,2022-10-02 18:42:41
233,Itarema,-2.9248,-39.9167,82.76,65,6,19.8,BR,2022-10-02 18:40:24
234,Dwarka,22.2394,68.9678,81.34,71,1,9.8,IN,2022-10-02 18:50:03
235,Dongsheng,39.8161,109.9776,50.04,84,100,22.79,CN,2022-10-02 18:50:03
236,Aksaray,38.3726,34.0254,71.65,47,65,16.15,TR,2022-10-02 18:50:04
237,Poltavka,54.3663,71.7632,34.36,61,6,6.55,RU,2022-10-02 18:50:04
238,Vidim,56.4088,103.1106,28.42,89,100,8.12,RU,2022-10-02 18:50:04
239,Clonakilty,51.6231,-8.8706,58.08,78,100,5.93,IE,2022-10-02 18:50:05
240,Uspenka,48.3903,39.1619,72.03,46,100,16.62,UA,2022-10-02 18:50:06
241,Point Fortin,10.1833,-61.6833,86.86,71,59,1.28,TT,2022-10-02 18:50:06
242,Sitka,57.0531,-135.33,48.09,81,0,3.44,US,2022-10-02 18:50:06
243,Archidona,37.0965,-4.3887,67.91,38,100,6.33,ES,2022-10-02 18:50:07
244,Bontang,0.1333,117.5,77.85,85,100,2.91,ID,2022-10-02 18:50:07
245,Saldanha,-33.0117,17.9442,59.05,81,0,7.31,ZA,2022-10-02 18:42:51
246,Luganville,-15.5333,167.1667,77.02,83,40,4.21,VU,2022-10-02 18:50:07
247,Gao,16.6362,1.637,96.82,26,7,4.36,ML,2022-10-02 18:50:08
248,Wattegama,6.7989,81.4808,78.1,70,100,6.78,LK,2022-10-02 18:50:08
249,Bandarbeyla,9.4942,50.8122,77.02,83,100,25.37,SO,2022-10-02 18:50:09
